datetime,idx,up_currency,up_crossing_value,up_velocity,up_time_below,up_min_mfc,down_currency,down_crossing_value,down_velocity,down_time_above,down_max_mfc,velocity_diff,velocity_sum,outcome,reached_zero,reached_upper,fell_back,max_mfc,min_mfc_after,time_to_zero,time_to_upper,time_to_fall_back,down_velocity_abs,vel_diff_quartile,depth_bin,height_bin
2009-04-03 08:00:00,1921,CAD,-0.174764,0.018159593333333335,16,-0.37648852,NZD,0.18105742,-0.0016751733333333352,1,0.21598513,0.01983476666666667,0.01983476666666667,partial_continuation,True,False,False,0.1334646,-0.174764,3.0,,,0.0016751733333333352,Q1_low,shallow_>-0.4,shallow_<0.4
2009-04-06 16:00:00,1930,CHF,-0.18637617,0.005496166666666663,3,-0.20710292,AUD,0.15879717,-0.07314474666666666,19,0.49888888,0.07864091333333333,0.07864091333333333,immediate_reversal,False,False,True,-0.17945538,-0.39890972,,,2.0,0.07314474666666666,Q2,shallow_>-0.4,moderate_0.4_to_0.6
2009-04-08 04:00:00,1939,JPY,-0.15251188,0.08338205333333333,26,-0.93446074,GBP,0.17241068,-0.04924895000000001,24,0.77329397,0.13263100333333333,0.13263100333333333,full_continuation,True,True,True,0.50708244,-0.50042533,3.0,5.0,22.0,0.04924895000000001,Q3,deep_<-0.6,high_>0.6
2009-04-15 20:00:00,1974,USD,-0.1870683,0.021399773333333344,13,-0.3232386,NZD,0.17143935,-0.02814235,10,0.29665567,0.04954212333333334,0.04954212333333334,full_continuation,True,True,False,0.53444565,-0.1870683,4.0,9.0,,0.02814235,Q1_low,shallow_>-0.4,shallow_<0.4
2009-05-06 04:00:00,2063,JPY,-0.19047185,0.03581299666666667,18,-0.41518954,CAD,0.19022905,-0.032124983333333336,6,0.3163133,0.06793798000000001,0.06793798000000001,reached_zero_then_reversed,True,False,True,0.13322464,-0.66537276,8.0,,18.0,0.032124983333333336,Q1_low,moderate_-0.6_to_-0.4,shallow_<0.4
2009-05-13 12:00:00,2096,USD,-0.12583775,0.06559833666666667,58,-0.65225077,CAD,0.1899884,-0.02067831999999999,4,0.25202336,0.08627665666666666,0.08627665666666666,reached_zero_then_reversed,True,False,True,0.19691144,-0.20469958,2.0,,29.0,0.02067831999999999,Q2,deep_<-0.6,shallow_<0.4
2009-05-14 16:00:00,2103,GBP,-0.15249024,0.03489576999999999,21,-0.51531431,NZD,0.17495466,-0.046890133333333334,26,0.66383818,0.08178590333333333,0.08178590333333333,full_continuation,True,True,False,0.6669581,-0.15249024,6.0,12.0,,0.046890133333333334,Q2,moderate_-0.6_to_-0.4,high_>0.6
2009-06-04 20:00:00,2197,CAD,-0.19529044,-0.018969303333333336,1,-0.20212866,AUD,0.16982641,-0.011880033333333326,12,0.25603923,-0.00708927000000001,0.030849336666666664,full_continuation,True,True,True,0.39420325,-0.2041289,11.0,14.0,1.0,0.011880033333333326,Q1_low,shallow_>-0.4,shallow_<0.4
2009-06-09 04:00:00,2212,GBP,-0.17501521,0.07566846666666667,14,-0.53446274,CHF,0.18317101,-0.015895630000000004,9,0.2830774,0.09156409666666668,0.09156409666666668,full_continuation,True,True,False,0.71458309,-0.17501521,2.0,4.0,,0.015895630000000004,Q2,moderate_-0.6_to_-0.4,shallow_<0.4
2009-07-02 16:00:00,2320,JPY,-0.14063556,0.040737119999999995,15,-0.26284692,AUD,0.19818718,-0.029544296666666664,21,0.33358602,0.07028141666666665,0.07028141666666665,full_continuation,True,True,False,0.87264277,-0.14063556,5.0,12.0,,0.029544296666666664,Q1_low,shallow_>-0.4,shallow_<0.4
2009-07-02 16:00:00,2320,CAD,-0.18940045,0.023938503333333343,46,-1.00024827,AUD,0.19818718,-0.029544296666666664,21,0.33358602,0.05348280000000001,0.05348280000000001,full_continuation,True,True,False,0.2875017,-0.18940045,4.0,7.0,,0.029544296666666664,Q1_low,deep_<-0.6,shallow_<0.4
2009-08-18 16:00:00,2525,GBP,-0.15030255,0.06903549333333334,39,-0.69622327,NZD,0.17816456,-0.008757106666666662,1,0.20782076,0.0777926,0.0777926,reached_zero_then_reversed,True,False,True,0.14828551,-0.54670021,3.0,,19.0,0.008757106666666662,Q2,deep_<-0.6,shallow_<0.4
2009-09-24 12:00:00,2691,USD,-0.17001223,-0.0022009433333333253,2,-0.22798733,EUR,0.18439559,0.004453489999999995,1,0.22616531,-0.0066544333333333205,0.0066544333333333205,full_continuation,True,True,True,0.54012285,-0.33450529,3.0,6.0,27.0,0.004453489999999995,Q1_low,shallow_>-0.4,shallow_<0.4
2009-09-24 12:00:00,2691,USD,-0.17001223,-0.0022009433333333253,2,-0.22798733,CHF,0.17156617,-0.057164906666666675,15,0.48691256,0.05496396333333335,0.05936585,full_continuation,True,True,True,0.54012285,-0.33450529,3.0,6.0,27.0,0.057164906666666675,Q1_low,shallow_>-0.4,moderate_0.4_to_0.6
2009-09-24 12:00:00,2691,JPY,-0.1669142,0.06089239333333333,22,-0.35000615,EUR,0.18439559,0.004453489999999995,1,0.22616531,0.05643890333333333,0.06534588333333333,full_continuation,True,True,False,0.90149291,-0.1669142,3.0,6.0,,0.004453489999999995,Q1_low,shallow_>-0.4,shallow_<0.4
2009-09-24 12:00:00,2691,JPY,-0.1669142,0.06089239333333333,22,-0.35000615,CHF,0.17156617,-0.057164906666666675,15,0.48691256,0.1180573,0.1180573,full_continuation,True,True,False,0.90149291,-0.1669142,3.0,6.0,,0.057164906666666675,Q3,shallow_>-0.4,moderate_0.4_to_0.6
2009-11-02 04:00:00,2857,EUR,-0.18841506,0.025920293333333334,7,-0.28985204,USD,0.16059832,-0.041057873333333335,28,0.6669358,0.06697816666666667,0.06697816666666667,partial_continuation,True,False,False,0.18780417,-0.18841506,4.0,,,0.041057873333333335,Q1_low,shallow_>-0.4,high_>0.6
